"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","carrier_nameshort","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"EV","Atlantic Southeast Airlines",2010,3880916,1325946,184852,722237,2427,1645454,"Express",8.83984791761384,9.86284361527065,10.6677038975219,6.92165124772616,3.77519910403186,9.02751348116193
"EV","Atlantic Southeast Airlines",2011,4753139,1788303,172145,634309,3478,2154904,"Express",10.528474071118,12.9768869136918,9.7875669556684,6.01689373328019,5.33591077154385,11.3423414309504
"EV","ExpressJet Airlines Inc.",2012,10234754,3441656,375026,1872886,5186,4540000,"Express",20.6897654498447,21.4801582950065,21.6926372195553,17.1851679211471,7.6725056219671,21.878942366143
"EV","ExpressJet Airlines Inc.",2013,11855385,3366064,312367,2859779,5278,5311897,"Express",20.4164901054965,19.3443126790651,15.2730567333719,20.5422997200859,6.11544967904897,21.5808287995244
"EV","ExpressJet Airlines Inc.",2014,10822734,3335616,276162,2680248,2833,4527875,"Express",17.092665862672,17.0509188006794,11.2210116146543,18.5979059307814,4.86468850882616,16.8796790863726
"EV","ExpressJet Airlines Inc.",2015,6850156,2363973,169313,1687894,0,2628976,"Express",12.2294677937159,12.7671229651085,6.46584250371194,13.8083078713034,0,11.6387495716224
"F9","Frontier Airlines Inc.",2007,941066,279277,39509,405929,2167,214184,"Frontier",1.54508537639851,1.59825023826935,1.26082184943727,2.57505308962727,1.77583649520188,0.877314032293548
"F9","Frontier Airlines Inc.",2008,816449,250971,21370,356334,391,187383,"Frontier",1.53006926652387,1.75675215011761,0.885647822164238,2.33351794067012,0.543055555555556,0.878947819957706
"F9","Frontier Airlines Inc.",2009,852954,180181,19105,262146,0,391522,"Frontier",2.06799813651924,1.63730638877624,1.20964652741855,2.24175280635989,0,2.31384589635747
"F9","Frontier Airlines Inc.",2010,722951,156994,12116,197692,0,356149,"Frontier",1.64671868494109,1.16777551313236,0.699207476372316,1.89460672669149,0,1.95395307240575
"F9","Frontier Airlines Inc.",2011,850311,198889,18155,309822,0,323445,"Frontier",1.88348737873781,1.44324539039371,1.03223025984002,2.9388926378663,0,1.70245339195331
"F9","Frontier Airlines Inc.",2012,794945,217305,13588,276770,0,287282,"Frontier",1.60699764699052,1.35624995592133,0.785970984783236,2.53957738246529,0,1.38445513674676
"F9","Frontier Airlines Inc.",2013,1118193,229551,19914,446957,0,421771,"Frontier",1.92567144133535,1.31919842278462,0.973686886861828,3.21057139589823,0,1.71354371961735
"F9","Frontier Airlines Inc.",2014,1327023,254513,20749,533348,0,518413,"Frontier",2.09580691266002,1.30101321516545,0.843073159929544,3.70083512136578,0,1.93261630990336
"F9","Frontier Airlines Inc.",2015,1583839,346950,21616,581234,0,634039,"Frontier",2.82760101243405,1.8737749173719,0.825486829482895,4.75495381657211,0,2.80695644982757
"HA","Hawaiian Airlines Inc.",2007,185243,134564,1537,971,731,47440,"Hawaii",0.304140464515974,0.770084701076267,0.0490491579788173,0.00615964010954644,0.599047751727077,0.194317865442825
"HA","Hawaiian Airlines Inc.",2008,273111,184855,4861,931,203,82261,"Hawaii",0.511824679128274,1.29395196540632,0.201456905172689,0.0060968226516804,0.281944444444444,0.385857450342565
